Filename,Frame,Time (mins),Period,Period time (mins),length.mm,Precision (mm),RMS (mm),Range (mm),Direction (deg),Horz. Dir. (deg),Vert. Dir. (deg),Mid X (mm),Mid Y (mm),Mid Z (mm),OpCode,TapeReader,Depth,Comment,Date,Time,habitat_type,complexity,current_speed,temperature,left_camera,right_camera,Family,Genus,Species,Code,Number,Stage,Activity,Comment
Left (2).MP4,14282,25.5767,,,215.989,3.024,0.453,1434.616,30.519,4.846,20.114,-664.545,298.581,-1235.861,cliffcove_1,Fiona Francis,26.8,,19-11-14,13:32,rocky reef,,,,1047,1046,Scorpaenidae,Sebastes,flavidus,166720,1,AD,Passing,
Left (2).MP4,14282,25.5767,,,253.84,3.753,1.729,1433.043,16.223,31.351,12.353,0.944,400.368,-1375.979,cliffcove_1,Fiona Francis,26.8,,19-11-14,13:32,rocky reef,,,,1047,1046,Scorpaenidae,Sebastes,flavidus,166720,1,AD,Passing,
Left (2).MP4,14282,25.5767,,,236.017,7.048,0.6,1992.875,26.415,29.478,6.304,644.457,608.855,-1784.802,cliffcove_1,Fiona Francis,26.8,,19-11-14,13:32,rocky reef,,,,1047,1046,Scorpaenidae,Sebastes,flavidus,166720,1,AD,Passing,
Left (2).MP4,14607,25.7574,,,246.175,3.426,0.507,1623.738,17.133,20.386,2.305,-107.33,466.137,-1551.683,cliffcove_1,Fiona Francis,26.8,,19-11-14,13:32,rocky reef,,,,1047,1046,Scorpaenidae,Sebastes,flavidus,166720,1,AD,Passing,
Left (2).MP4,15134,26.0505,,,232.202,2.225,0.319,1460.748,21.557,3.569,39.944,-279.397,458.266,-1358.57,cliffcove_1,Fiona Francis,26.8,,19-11-14,13:32,rocky reef,,,,1047,1046,Scorpaenidae,Sebastes,flavidus,166720,1,AD,Passing,
Left (2).MP4,15134,26.0505,,,235.036,3.353,0.409,1296.552,21.527,36.493,19.249,243.895,408.488,-1206.109,cliffcove_1,Fiona Francis,26.8,,19-11-14,13:32,rocky reef,,,,1047,1046,Scorpaenidae,Sebastes,flavidus,166720,1,AD,Passing,
Left (2).MP4,15134,26.0505,,,222.463,6.428,0.314,1740.515,18.783,39.864,20.677,389.287,403.15,-1647.822,cliffcove_1,Fiona Francis,26.8,,19-11-14,13:32,rocky reef,,,,1047,1046,Scorpaenidae,Sebastes,flavidus,166720,1,AD,Passing,
Left (2).MP4,15134,26.0505,,,244.057,3.891,0.775,1625.842,25.921,23.63,5.37,386.633,596.352,-1462.272,cliffcove_1,Fiona Francis,26.8,,19-11-14,13:32,rocky reef,,,,1047,1046,Scorpaenidae,Sebastes,flavidus,166720,1,AD,Passing,
Left (2).MP4,15620,26.3207,60min,0.2147,2102.474,22.038,55.071,2304.754,25.174,75.944,21.422,-514.723,834.38,-2085.848,cliffcove_1,Fiona Francis,26.8,,19-11-14,13:32,rocky reef,,,,1047,1046,Scorpaenidae,Sebastes,flavidus,166720,1,AD,Passing,
Left (2).MP4,15620,26.3207,60min,0.2147,243.532,6.097,4.116,1951.716,22.498,28.815,11.377,-265.712,697.946,-1803.182,cliffcove_1,Fiona Francis,26.8,,19-11-14,13:32,rocky reef,,,,1047,1046,Scorpaenidae,Sebastes,flavidus,166720,1,AD,Passing,
Left (2).MP4,15620,26.3207,60min,0.2147,278.021,7.459,2.751,1951.895,14.404,36.467,21.792,104.909,474.086,-1890.538,cliffcove_1,Fiona Francis,26.8,,19-11-14,13:32,rocky reef,,,,1047,1046,Scorpaenidae,Sebastes,flavidus,166720,1,AD,Passing,
Left (2).MP4,15620,26.3207,60min,0.2147,192.079,1.856,0.258,1139.541,23.103,21.804,20.047,136.025,425.947,-1048.151,cliffcove_1,Fiona Francis,26.8,,19-11-14,13:32,rocky reef,,,,1047,1046,Scorpaenidae,Sebastes,flavidus,166720,1,AD,Passing,
